sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
41.829,418.861,0.997,0.070,0.411,0.703,0.294,0.894,0.710
18.799,211.733,0.130,0.017,2.105,0.754,0.216,-0.252,0.008
-99999.000,659.834,0.879,0.001,0.421,2.074,0.254,0.907,0.040
6.819,67.836,0.254,0.193,0.786,3.019,0.174,0.055,0.010
0.129,220.452,0.000,0.191,-0.680,-1.407,0.399,0.708,0.022
51.495,55.562,0.083,0.127,-0.234,-0.590,0.297,0.914,0.221
14.551,563.709,0.094,0.000,0.647,0.716,0.182,0.748,0.052
13.294,81.985,0.016,0.403,-0.558,-1.518,0.373,0.786,0.017
-99999.000,452.173,0.841,0.007,0.176,0.597,0.311,0.983,0.655
11.436,56.211,0.044,0.038,-1.168,-1.772,0.258,0.272,0.006
10.874,1143.445,0.998,0.022,0.521,0.680,0.584,0.819,0.092
54.121,603.222,0.050,0.004,0.923,0.501,0.197,0.452,0.013
28.293,133.273,0.864,0.220,0.441,2.411,0.178,0.816,0.022
0.283,95.135,0.000,0.427,-0.674,-1.198,0.101,0.707,0.010
50.382,199.997,0.143,0.404,0.605,0.111,0.014,0.245,0.013
4.722,353.748,0.799,0.120,-0.308,-2.940,0.350,0.444,0.016
114.781,20.428,0.148,0.072,0.756,0.274,0.477,0.375,0.012
74.093,82.900,0.038,0.455,-1.324,-1.592,0.043,0.137,0.007
12.378,677.182,0.504,0.079,-0.469,-1.199,0.153,0.837,0.022
61.633,70.459,0.144,0.199,0.763,1.108,0.279,0.773,0.054
30.543,41.849,0.058,0.243,1.445,2.091,0.110,0.161,0.001
232.516,123.411,0.174,0.433,2.673,1.679,0.047,-0.839,0.013
-99999.000,27.767,0.644,0.111,-0.100,-2.852,0.119,0.900,0.055
62.898,31.450,0.269,0.493,0.400,0.824,0.129,0.924,0.034
118.408,330.978,0.094,0.270,-0.590,-1.802,0.158,0.748,0.014
21.342,970.609,0.979,0.004,0.531,1.046,0.051,0.894,0.070
0.146,321.231,0.000,0.001,0.223,1.533,0.167,0.991,0.031
0.189,778.319,0.000,0.013,0.958,0.720,0.219,0.535,0.009
