sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
64.464,40.801,0.015,0.154,-0.112,-0.314,0.146,0.946,0.161
84.399,31.956,0.005,0.074,1.223,1.335,0.162,0.445,0.003
-99999.000,110.885,0.011,0.445,-1.645,-1.153,0.036,-0.133,0.003
39.950,90.829,0.044,0.173,1.677,2.012,0.067,-0.033,0.003
23.980,22.584,0.102,0.481,0.506,1.262,0.281,0.920,0.019
7.864,167.287,0.000,0.006,2.699,2.274,0.161,-0.826,0.065
0.225,84.845,0.000,0.257,-0.953,-1.141,0.432,0.485,0.022
49.091,133.854,0.204,0.228,2.779,3.121,0.109,-0.130,0.004
31.118,115.483,0.290,0.085,0.987,2.271,0.227,0.474,0.007
-99999.000,185.856,0.223,0.296,0.018,0.038,0.075,0.927,0.901
18.614,48.401,0.057,0.078,-1.696,-2.111,0.308,-0.237,0.004
190.132,66.659,0.016,0.411,-1.645,-0.951,0.131,-0.101,0.005
-99999.000,239.104,0.010,0.083,1.346,0.868,0.047,0.301,0.004
91.924,133.126,0.009,0.206,-1.072,-1.701,0.160,0.370,0.009
